DT1 t x y ,,
117.3,-643.080292,49.59124088
117.9,-614.080292,50.59124088
118.5,-586.080292,45.59124088
119.1,-565.080292,43.59124088
119.7,-548.080292,39.59124088
120.4,-522.080292,39.59124088
DF8 t x y ,,
114.9,-694.080292,71.59124088
115.5,-667.080292,64.59124088
116.1,-658.080292,61.59124088
116.7,-637.080292,57.59124088
117.3,-604.080292,50.59124088
117.9,-581.080292,48.59124088
118.5,-558.080292,47.59124088
119.1,-530.080292,46.59124088
119.7,-506.080292,41.59124088
120.4,-484.080292,36.59124088
DT9 t x y ,,
125.4,-684.1,69.6
126,-667.1,68.6
126.6,-651.1,63.6
127.2,-636.1,63.6
127.8,-621.1,59.6
DW9 t x y ,,
125.4,-701.1,64.6
126,-679.1,59.6
126.6,-662.1,55.6
127.2,-645.1,54.6
127.8,-634.1,54.6
DF9 t x y ,,
125.4,-666.1,62.6
126,-650.1,61.6
126.6,-638.1,58.6
127.2,-627.1,56.6
127.8,-614.1,55.6
DT10 t x y ,,
110.8,-562.1,64.6
111.4,-526.1,58.6
112,-488.1,56.6
112.6,-461.1,55.6
113.2,-438.1,53.6
113.8,-404.1,52.6
DW10 t x y ,,
110.8,-568.1,60.6
111.4,-533.1,55.6
112,-494.1,52.6
112.6,-467.1,51.6
113.2,-443.1,48.6
113.8,-410.1,43.6
DF10 t x y ,,
110.8,-537.1,58.6
111.4,-505.1,58.6
112,-465.1,54.6
112.6,-439.1,48.6
113.2,-415.1,46.6
113.8,-377.1,40.6
DT11 t x y ,,
111.9,-305.1,73.6
112.5,-269.1,62.6
113.1,-241.1,58.6
113.7,-210.1,53.6
114.3,-183.1,44.6
115.9,-153.1,41.6
DW11 t x y ,,
111.9,-315.1,70.6
112.5,-279.1,54.6
113.1,-253.1,48.6
113.7,-229.1,34.6
114.3,-191.1,30.6
115.9,-169.1,34.6
DF11 t x y ,,
111.9,-279.1,66.6
112.5,-241.1,54.6
113.1,-201.1,54.6
113.7,-187.1,44.6
114.3,-155.1,42.6
115.9,-125.1,34.6
DT12 t x y ,,
97.4,-657.080292,75.59124088
97.9,-629.080292,73.59124088
98.4,-606.080292,69.59124088
99,-587.080292,61.59124088
DW12 t x y ,,
97.4,-677.1,62.6
97.9,-647.1,62.6
98.4,-615.1,64.6
99,-609.1,50.6
DF12 t x y ,,
97.4,-631.080292,62.59124088
97.9,-603.080292,62.59124088
98.4,-591.080292,62.59124088
99,-568.3689217,43.46296099
DT13 t x y ,,
76,-690.080292,79.59124088
76.6,-658.080292,69.59124088
77.2,-622.080292,63.59124088
77.8,-597.6364417,64.14739061
78.4,-566.080292,70.59124088
78.9,-537.080292,65.59124088
DW13 t x y ,,
76,-713.080292,74.59124088
76.6,-673.080292,58.59124088
77.2,-638.080292,52.59124088
77.8,-609.080292,58.59124088
78.4,-579.080292,64.59124088
78.9,-543.080292,56.59124088
DF13 t x y ,,
76,-672.080292,70.59124088
76.6,-639.080292,58.59124088
77.2,-597.080292,55.59124088
77.8,-581.080292,56.59124088
78.4,-548.8182015,60.77064805
78.9,-518.080292,57.59124088
DT14 t x y ,,
94.2,-679.7754791,58.67145478
94.8,-644.1818962,61.40942269
95.5,-604.080292,65.59124088
96.2,-570.080292,66.59124088
96.7,-541.5080995,64.14739061
DW14 t x y ,,
94.2,-695.080292,50.59124088
94.8,-659.080292,51.59124088
95.5,-618.7479305,55.59124088
96.2,-585.1619246,53.72535166
96.7,-557.1735864,53.72535166
DF14 t x y ,,
94.2,-664.080292,49.59124088
94.8,-629.080292,50.59124088
94.9,-631.8091549,53.72535166
95.5,-591.080292,52.59124088
96.2,-548.080292,54.59124088
DT15 t x y ,,
168,-655.1,68.3
169,-641.4,61.4
169.9,-614.1,57.3
170.9,-586.7,57.3
171.9,-549.7,60
172.9,-512.8,64.1
DW15 t x y ,,
168,-693.4,63
169,-670.8,53.1
169.9,-651,51.7
170.9,-626.9,47.5
171.9,-576,41.8
172.9,-539.2,46
DF15 t x y ,,
168,-607.8,60.9
169,-585.1,55.2
169.9,-534.2,52.4
170.9,-497.5,43.9
171.9,-460.7,49.5
172.9,-429.6,38.2
DT16 t x y,,
119.4,-260.6,53.8
120,-245,52.4
120.4,-228.1,49.6
121.1,-205.4,45.3
122.1,-174.3,51
DW16 t x y ,,
119.4,-323,40.6
120,-307.3,37.2
120.4,-287.1,38.3
121.1,-233.2,29.3
122.1,-200.6,31.6
DF16 t x y ,,
119.4,-215.2,30.4
120,-207.4,39.4
120.4,-184.9,33.8
121.1,-175.9,31.6
122.1,-154.6,40.6
DT17 t x y ,,
93.6,-468.5,84.9
94.3,-428.9,82.1
95.1,-399.2,80.7
95.7,-375.2,75
96.5,-348.3,75
DW17 t x y ,,
93.6,-482.1,77.6
94.3,-454.6,74.6
95.1,-418.1,73.1
95.7,-395.6,67.1
96.5,-369.1,63.6
DF17 t x y ,,
93.6,-451.1,78.6
94.3,-419.1,75.1
95.2,-389.6,77.1
95.7,-360.6,72.6
96.5,-336.1,68.6
DT18 t x y ,,
106,-628.3,70.8
106.4,-588.7,66.6
106.9,-563.3,65.1
107.5,-530.7,58.1
108.1,-498.2,59.5
108.6,-455.8,63.7
DW18 t x y ,,
106,-677.6,81.3
106.4,-643.9,54.4
106.9,-619.2,49.9
107.5,-583.3,52.1
108.1,-556.4,34.2
108.6,-527.2,31.9
DF18 t x y ,,
106,-542.9,52.1
106.4,-516,43.1
106.9,-493.5,54.4
107.5,-491.3,54.4
108.1,-444.1,45.4
108.6,-421.7,54.4
DT19 t x y ,,
108.7,-688.080292,73.59124088
109.4,-641.0581925,65.1382022
110.1,-576.080292,71.59124088
110.9,-543.4670323,67.96693148
DW19 t x y ,,
108.7,-734.080292,55.59124088
109.4,-678.080292,49.59124088
110.1,-618.080292,61.59124088
110.9,-592.3100354,49.8806144
DF19 t x y ,,
108.7,-646.080292,45.59124088
109.4,-606.080292,47.59124088
110.1,-544.080292,57.59124088
110.9,-492.080292,51.59124088
DT20 t x y ,,
77.4,-344.04,73.62
78.4,-303.03,75.04
79.4,-260.59,56.65
80.3,-235.14,48.17
81.1,-211.09,42.51
DW20 t x y ,,
77.4,-377.1,56.6
78.4,-335.1,56.6
79.4,-299.1,46.6
80.3,-261.1,30.6
81.1,-231.1,30.6
DF20 t x y ,,
77.4,-293.1,64.6
78.4,-245.1,58.6
79.4,-227.1,48.6
80.3,-201.1,40.6
81.1,-185.1,34.6
DT21 t x y ,,
84.4,-537.8,83.5
85.2,-503.9,80.7
86.1,-452.9,87.8
87.1,-411.9,90.6
DW21 t x y ,,
84.3,-747.1,52.6
85.2,-523.1,70.6
86.1,-477.1,75.6
87.1,-433.1,71.6
DF21 t x y ,,
84.3,-697.1,49.6
85.2,-479.1,69.6
86.1,-421.1,73.6
87.1,-377.1,77.6
DT22 t x y ,,
87.1,-748.5,80.7
87.5,-731.6,82.1
88,-714.6,79.3
88.5,-687.7,73.6
89.2,-672.2,69.4
DW22 t x y ,,
87.1,-773.1,83.6
87.5,-751.1,75.6
88,-743.1,71.6
88.5,-723.1,69.6
89.2,-703.1,69.6
DF22 t x y ,,
87.1,-723.1,71.6
87.5,-705.1,73.6
88,-685.1,73.6
88.5,-659.1,65.6
89.2,-643.1,67.6
DT23 t x y ,,
83.9,-759.9,59.5
84.3,-721.7,59.5
84.8,-675,59.5
85.5,-629.7,65.1
DW23 t x y ,,
83.9,-773.1,57.6
84.3,-741.1,49.6
84.8,-713.1,49.6
85.5,-671.1,43.6
DF23 t x y,,
83.9,-727.1,49.6
84.3,-699.1,49.6
84.8,-637.1,39.6
85.5,-603.1,47.6
DT24 t x y ,,
110.4,-322.080292,61.59124088
111.2,-292.080292,57.59124088
112,-252.1079163,56.65201436
112.8,-214.080292,55.59124088
DW24 t x y,,
110.4,-347.080292,49.59124088
111.2,-313.080292,39.59124088
112,-268.080292,45.59124088
112.8,-243.080292,41.59124088
DF24 t x y,,
110.4,-297.080292,45.59124088
111.2,-272.080292,35.59124088
112,-228.080292,41.59124088
112.8,-191.080292,45.59124088
DT25 t x y ,,
115.7,-355.4,66.6
116.7,-322.8,65.1
117.7,-274.7,69.4
118.7,-221,72.2
119.5,-221,69.4
DW25 t x y,,
115.7,-379.1,51.6
116.7,-343.1,55.6
117.7,-293.1,51.6
118.7,-235.1,51.6
119.5,-225.1,57.6
DF25 t x y,,
115.7,-325.1,49.6
116.7,-295.1,63.6
117.7,-251.1,65.6
118.7,-195.1,55.6
119.5,-189.1,57.6
DT26 t x y ,,
65.1,-406.3,87.8
65.4,-385.1,84.9
66.1,-362.4,89.2
66.8,-339.8,90.6
67.3,-303,90.6
DW26 t x y,,
65.1,-428.1,75.6
65.4,-404.1,71.6
66.1,-372.1,69.6
66.8,-352.1,73.6
67.3,-318.1,77.6
DF26 t x y,,
65.1,-380.1,73.6
65.4,-364.1,75.6
66.1,-326.1,71.6
66.8,-288.1,79.6
67.3,-266.1,79.6
DT27 t x y ,,
76.3,-399.2,82.1
76.9,-365.3,73.6
77.5,-328.5,62.3
78,-300.2,56.7
DW27 t x y,,
76.3,-416.1,75.6
76.9,-386.1,67.6
77.5,-338.1,63.6
78,-314.1,55.6
DF27 t x y,,
76.3,-375,69.1
76.9,-341,65.4
77.5,-312,56.5
78.1,-285.5,55.3
